word	opus_rank	hsk_level	pos	lccc_rank	is_foreign_name	is_foreign_score3	tier	dialog_priority
早安	1588			605	0	0	C_expansion_extra_HSK	5
常	1589	HSK1	副	4162	0	0	C_expansion	5
边	1590	HSK2	名	1266	0	0	C_expansion	5
一片	1591			2108	0	0	C_expansion_extra_HSK	5
仔细	1592	HSK5	形	1667	0	0	C_expansion_extra_HSK	5
逃跑	1593	HSK5	动	11393	0	0	C_expansion_extra_HSK	5
早点	1594			398	0	0	C_expansion_extra_HSK	5
同学	1595	HSK1	名	375	0	0	C_expansion	5
无所谓	1596	HSK4	动	1673	0	0	C_expansion	5
看不见	1597			1586	0	0	C_expansion_extra_HSK	5
它会	1598			9696	0	0	C_expansion_extra_HSK	5
规矩	1599	HSK7-9	名、形	8345	0	0	C_expansion_extra_HSK	5
光	1600	HSK3	副、名、形	1777	0	0	C_expansion	5
记者	1601	HSK3	名	5007	0	0	C_expansion	5
去年	1602	HSK1	名	679	0	0	C_expansion	5
真是太	1603			3443	0	0	C_expansion_extra_HSK	5
监视	1604	HSK7-9	动	25847	0	0	C_expansion_extra_HSK	5
伤心	1605	HSK3		848	0	0	C_expansion	5
更加	1606	HSK3	副	2301	0	0	C_expansion	5
天使	1607	HSK7-9	名	2828	0	0	C_expansion_extra_HSK	5
赌	1608	HSK6	动	4108	0	0	C_expansion_extra_HSK	5
打死	1609				0	0	C_expansion_extra_HSK	5
醒醒	1610			3471	0	0	C_expansion_extra_HSK	5
不太	1611	HSK2		1691	0	0	C_expansion	5
刀	1612	HSK3	名	2778	0	0	C_expansion	5
搭	1613	HSK6	动	1608	0	0	C_expansion_extra_HSK	5
无论如何	1614	HSK7-9		11304	0	0	C_expansion_extra_HSK	5
练习	1615	HSK2	动、名	6189	0	0	C_expansion	5
烂	1616	HSK5	形		0	0	C_expansion_extra_HSK	5
离婚	1617	HSK3		2923	0	0	C_expansion	5
早餐	1618	HSK2	名	1246	0	0	C_expansion	5
技术	1619	HSK3	名	1065	0	0	C_expansion	5
产生	1620	HSK3	动	4633	0	0	C_expansion	5
红色	1621	HSK2	名	1462	0	0	C_expansion	5
吵	1622	HSK3	形、动	1794	0	0	C_expansion	5
石头	1623	HSK3	名	3434	0	0	C_expansion	5
胡说	1624	HSK7-9	动、名	4957	0	0	C_expansion_extra_HSK	5
片名	1625			27567	0	0	C_expansion_extra_HSK	5
参与	1626	HSK4	动	3782	0	0	C_expansion	5
爷爷	1627	HSK1	名	1957	0	0	C_expansion	5
宣布	1628	HSK3	动	9821	0	0	C_expansion	5
思考	1629	HSK4	动	1652	0	0	C_expansion	5
天气	1630	HSK1	名	529	0	0	C_expansion	5
方便	1631	HSK2	形	877	0	0	C_expansion	5
孤独	1632	HSK6	形	1413	0	0	C_expansion_extra_HSK	5
以来	1633	HSK3	名	5017	0	0	C_expansion	5
导演	1634	HSK3	动、名	2645	0	0	C_expansion	5
运气	1635	HSK4	名	1580	0	0	C_expansion	5
赢得	1636	HSK4	动	14466	0	0	C_expansion	5
心脏	1637	HSK6	名	3807	0	0	C_expansion_extra_HSK	5
一周	1638			1022	0	0	C_expansion_extra_HSK	5
脸上	1639			1511	0	0	C_expansion_extra_HSK	5
快要	1640	HSK2	副	2422	0	0	C_expansion	5
哥们	1641			2576	0	0	C_expansion_extra_HSK	5
窗户	1642	HSK4	名	4206	0	0	C_expansion	5
餐厅	1643	HSK5	名	3516	0	0	C_expansion_extra_HSK	5
前进	1644	HSK3	动	6721	0	0	C_expansion	5
我妈	1645			695	0	0	C_expansion_extra_HSK	5
外	1646	HSK1	名	2859	0	0	C_expansion	5
楼上	1647	HSK1		2784	0	0	C_expansion	5
旧	1648	HSK3	形	2954	0	0	C_expansion	5
付	1649	HSK3	动	5373	0	0	C_expansion	5
杀手	1650	HSK7-9	名		0	0	C_expansion_extra_HSK	5
唱歌	1651	HSK1		977	0	0	C_expansion	5
胜利	1652	HSK3	动、名	4039	0	0	C_expansion	5
运动	1653	HSK2	动、名	792	0	0	C_expansion	5
俱乐部	1654	HSK5	名	8601	0	0	C_expansion_extra_HSK	5
一段	1655			1877	0	0	C_expansion_extra_HSK	5
大卫	1656				0	0	C_expansion_extra_HSK	5
一段时间	1657			1857	0	0	C_expansion_extra_HSK	5
袭击	1658	HSK7-9	动	25815	0	0	C_expansion_extra_HSK	5
金	1659	HSK3	名	2185	0	0	C_expansion	5
信号	1660	HSK2	名	2968	0	0	C_expansion	5
一间	1661			7438	0	0	C_expansion_extra_HSK	5
空间	1662	HSK4	名	1847	0	0	C_expansion	5
机场	1663	HSK1	名	1348	0	0	C_expansion	5
凭	1664	HSK5	动、介	1715	0	0	C_expansion_extra_HSK	5
一分钟	1665			3858	0	0	C_expansion_extra_HSK	5
赶	1666	HSK3	动	1797	0	0	C_expansion	5
刺激	1667	HSK4	动、名		0	0	C_expansion	5
提出	1668	HSK2		6322	0	0	C_expansion	5
和平	1669	HSK3	名	4524	0	0	C_expansion	5
付钱	1670			6629	0	0	C_expansion_extra_HSK	5
确保	1671	HSK3	动	21687	0	0	C_expansion	5
发展	1672	HSK3	动、名	1637	0	0	C_expansion	5
经验	1673	HSK3	名	1534	0	0	C_expansion	5
紧急	1674	HSK3	形	18605	0	0	C_expansion	5
引起	1675	HSK4	动	4483	0	0	C_expansion	5
副	1676	HSK6	量	4421	0	0	C_expansion_extra_HSK	5
病人	1677	HSK1	名	5503	0	0	C_expansion	5
线索	1678	HSK5	名	21087	0	0	C_expansion_extra_HSK	5
祝你好运	1679			3645	0	0	C_expansion_extra_HSK	5
克	1680	HSK2	量	3037	0	0	C_expansion	5
声	1681	HSK5	名、量	3078	0	0	C_expansion_extra_HSK	5
手下	1682			18185	0	0	C_expansion_extra_HSK	5
将来	1683	HSK3	名	3286	0	0	C_expansion	5
手里	1684	HSK4		2979	0	0	C_expansion	5
带你去	1685			1574	0	0	C_expansion_extra_HSK	5
奇迹	1686	HSK7-9	名	4507	0	0	C_expansion_extra_HSK	5
万一	1687	HSK4	名、连	1385	0	0	C_expansion	5
加上	1688	HSK5	连	1884	0	0	C_expansion_extra_HSK	5
彻底	1689	HSK4	形	2403	0	0	C_expansion	5
车里	1690			6555	0	0	C_expansion_extra_HSK	5
吸引	1691	HSK4	动	2720	0	0	C_expansion	5
千万	1692	HSK3	副	2640	0	0	C_expansion	5
三年	1693			1333	0	0	C_expansion_extra_HSK	5
立即	1694	HSK4	副	11340	0	0	C_expansion	5
街上	1695			3894	0	0	C_expansion_extra_HSK	5
启动	1696	HSK5	动	11091	0	0	C_expansion_extra_HSK	5
太多	1697			1220	0	0	C_expansion_extra_HSK	5
随	1698	HSK3	动	2378	0	0	C_expansion	5
琌	1699				0	0	C_expansion_extra_HSK	5
肉	1700	HSK1	名	371	0	0	C_expansion	5
人物	1701	HSK5	名	2517	0	0	C_expansion_extra_HSK	5
欣赏	1702	HSK5	动	1679	0	0	C_expansion_extra_HSK	5
