rank	freq	smoothed_avg_freq	log10_rank	log10_avg_freq	d_logf_d_logr
160370	0	0.000	5.2051	0.0000	0.0000
168388	0	0.000	5.2263	0.0000	0.0000
176807	0	0.000	5.2475	0.0000	0.0000
185647	0	0.000	5.2687	0.0000	0.0000
194929	0	0.000	5.2899	0.0000	0.0000
204675	0	0.000	5.3111	0.0000	0.0000
214908	0	0.000	5.3323	0.0000	0.0000
225653	0	0.000	5.3534	0.0000	0.0000
236935	0	0.000	5.3746	0.0000	0.0000
248781	0	0.000	5.3958	0.0000	0.0000
261220	0	0.000	5.4170	0.0000	0.0000
274281	0	0.000	5.4382	0.0000	0.0000
287995	0	0.000	5.4594	0.0000	0.0000
302394	0	0.000	5.4806	0.0000	0.0000
317513	0	0.000	5.5018	0.0000	0.0000
333388	0	0.000	5.5229	0.0000	0.0000
350057	0	0.000	5.5441	0.0000	0.0000
367559	0	0.000	5.5653	0.0000	0.0000
385936	0	0.000	5.5865	0.0000	0.0000
405232	0	0.000	5.6077	0.0000	0.0000
425493	0	0.000	5.6289	0.0000	0.0000
436498	0	0.000	5.6400	0.0000	0.0000
