rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
208	抱	50757	50687	234	89.8433	HSK4
209	老	50429	50417	2571	89.9014	HSK1
210	歉	50405	50405	40	89.9594	HSK6
211	电	49836	49836	1088	90.0168	HSK1
212	嘿	49397	49297	278	90.0737	HSK7-9
213	两	48407	48407	1272	90.1294	HSK1
214	活	48166	48153	1292	90.1848	HSK2
215	少	47711	47710	1192	90.2398	HSK1
216	名	47323	47323	1650	90.2943	HSK1
217	须	45809	45809	175	90.3470	HSK2
218	办	45577	45577	395	90.3995	HSK2
219	字	44477	44477	847	90.4507	HSK1
220	重	44172	44156	1404	90.5016	HSK1
221	实	44131	44102	647	90.5524	HSK2
222	男	43058	43058	554	90.6020	HSK1
223	刚	42625	33234	866	90.6510	HSK2
224	并	42341	42341	236	90.6998	HSK3
225	新	41757	41756	2144	90.7479	HSK1
226	边	41546	41546	784	90.7957	HSK1
227	向	41468	41468	1122	90.8435	HSK2
228	高	41255	41239	2605	90.8910	HSK1
229	于	40784	40784	1270	90.9379	HSK2
230	解	40513	40513	836	90.9846	HSK3
231	手	40481	40478	2571	91.0312	HSK1
232	世	38919	38918	972	91.0760	HSK3
233	安	38531	38528	3396	91.1204	HSK2
234	玩	38040	37762	1033	91.1642	HSK1
235	结	37903	37903	602	91.2078	HSK2
236	每	37846	37840	583	91.2514	HSK3
237	本	37821	37821	1959	91.2949	HSK1
238	伙	37435	37435	353	91.3380	HSK4
239	且	37379	37379	179	91.3811	HSK2
240	坐	37119	37078	531	91.4238	HSK1
241	与	36680	36680	253	91.4660	HSK4
242	喂	36279	36190	79	91.5078	HSK2
243	算	36000	35981	1149	91.5493	HSK2
244	变	35725	35725	934	91.5904	HSK2
245	跑	35666	35656	368	91.6315	HSK1
246	界	35432	35432	595	91.6723	HSK3
247	接	35237	35237	1344	91.7128	HSK2
248	底	34410	34409	590	91.7525	HSK3
249	受	34026	34026	972	91.7916	HSK2
250	识	34014	34014	296	91.8308	HSK1
251	马	33958	33956	3296	91.8699	HSK1
252	們	33919	33919	785	91.9090	
253	保	33883	33883	1425	91.9480	HSK3
254	美	33710	33707	2908	91.9868	HSK3
255	兴	33434	33433	326	92.0253	HSK1
256	怕	32860	32855	270	92.0631	HSK2
257	担	32435	32435	177	92.1005	HSK4
258	同	32337	32336	1481	92.1377	HSK1
259	位	32297	32297	913	92.1749	HSK2
260	国	32121	32121	1766	92.2119	HSK1
261	车	31954	31954	1789	92.2487	HSK1
262	机	31751	31751	1510	92.2852	HSK1
263	确	31681	31681	166	92.3217	HSK2
264	身	31619	31619	1371	92.3581	HSK1
265	姐	31608	28196	704	92.3945	HSK1
266	无	31141	31095	2044	92.4304	HSK4
267	件	30609	30609	594	92.4656	HSK2
268	早	30556	30552	748	92.5008	HSK1
269	害	30376	30376	598	92.5358	HSK3
270	续	30000	29999	138	92.5703	HSK3
271	系	29840	29840	1354	92.6047	HSK1
272	够	29481	29466	669	92.6386	HSK2
273	管	29480	29477	1192	92.6725	HSK3
274	继	29314	29314	148	92.7063	HSK3
275	动	29115	29101	1444	92.7398	HSK1
276	远	28794	28672	739	92.7730	HSK1
277	肯	28676	28675	766	92.8060	HSK5
278	嗨	28597	28597	3	92.8389	
279	谈	28429	19585	691	92.8717	HSK3
280	此	28334	28299	1020	92.9043	HSK3
281	房	28083	28083	891	92.9366	HSK1
282	父	28067	28067	471	92.9689	HSK3
283	计	27750	27750	575	93.0009	HSK2
284	警	27650	27650	825	93.0327	HSK3
285	送	27513	27513	1001	93.0644	HSK1
286	月	27347	27347	598	93.0959	HSK1
287	总	27048	27048	715	93.1270	HSK3
288	喝	26983	26981	480	93.1581	HSK1
289	笑	26398	26364	521	93.1885	HSK1
290	這	26146	26146	4886	93.2186	
291	理	25994	25994	1613	93.2485	HSK2
292	至	25831	25831	566	93.2783	HSK3
293	外	25416	25416	1379	93.3075	HSK1
294	失	25173	25173	650	93.3365	HSK3
295	命	25076	25076	925	93.3654	HSK3
296	决	25065	25065	258	93.3943	HSK3
297	由	24936	24936	1056	93.4230	HSK2
298	第	24750	24750	1165	93.4515	HSK1
