rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
7311	樘	0	0	1	100.0000	
7312	椋	0	0	2	100.0000	
7313	嘅	0	0	1	100.0000	
7314	椹	0	0	2	100.0000	
7315	暠	0	0	1	100.0000	
7316	赟	0	0	2	100.0000	
7317	铋	0	0	1	100.0000	
7318	謢	0	0	1	100.0000	
7319	曱	0	0	1	100.0000	
7320	卬	0	0	1	100.0000	
7321	穚	0	0	1	100.0000	
7322	阢	0	0	1	100.0000	
7323	抍	0	0	1	100.0000	
7324	娒	0	0	1	100.0000	
7325	咾	0	0	1	100.0000	
7326	篭	0	0	1	100.0000	
7327	柰	0	0	1	100.0000	
7328	孭	0	0	1	100.0000	
7329	嘥	0	0	1	100.0000	
7330	渕	0	0	1	100.0000	
7331	鄱	0	0	1	100.0000	
7332	蒻	0	0	1	100.0000	
7333	濠	0	0	2	100.0000	
7334	礭	0	0	1	100.0000	
7335	灠	0	0	1	100.0000	
7336	梃	0	0	1	100.0000	
7337	垌	0	0	2	100.0000	
7338	蛸	0	0	1	100.0000	
7339	孛	0	0	1	100.0000	
7340	缳	0	0	2	100.0000	
7341	冃	0	0	1	100.0000	
7342	鑢	0	0	1	100.0000	
7343	炅	0	0	3	100.0000	
7344	穂	0	0	4	100.0000	
7345	狪	0	0	1	100.0000	
7346	砇	0	0	1	100.0000	
7347	扠	0	0	1	100.0000	
7348	斿	0	0	1	100.0000	
7349	鹥	0	0	1	100.0000	
7350	蒠	0	0	1	100.0000	
7351	韐	0	0	1	100.0000	
7352	鑤	0	0	1	100.0000	
7353	罍	0	0	1	100.0000	
7354	榅	0	0	1	100.0000	
7355	倥	0	0	1	100.0000	
7356	鸶	0	0	3	100.0000	
7357	呪	0	0	1	100.0000	
7358	秥	0	0	1	100.0000	
7359	筡	0	0	1	100.0000	
7360	俵	0	0	2	100.0000	
7361	蚡	0	0	1	100.0000	
7362	郙	0	0	1	100.0000	
7363	芃	0	0	5	100.0000	
7364	曶	0	0	1	100.0000	
7365	岒	0	0	1	100.0000	
7366	蚶	0	0	2	100.0000	
7367	璺	0	0	1	100.0000	
7368	驒	0	0	1	100.0000	
7369	嚜	0	0	1	100.0000	
7370	蚢	0	0	1	100.0000	
7371	淦	0	0	1	100.0000	
7372	燐	0	0	1	100.0000	
7373	皲	0	0	1	100.0000	
7374	磍	0	0	1	100.0000	
7375	夬	0	0	1	100.0000	
7376	匚	0	0	1	100.0000	
7377	哕	0	0	1	100.0000	
7378	傫	0	0	1	100.0000	
7379	淔	0	0	1	100.0000	
7380	萘	0	0	3	100.0000	
7381	昉	0	0	1	100.0000	
7382	虿	0	0	2	100.0000	
7383	歵	0	0	1	100.0000	
7384	剢	0	0	1	100.0000	
7385	磟	0	0	1	100.0000	
7386	椠	0	0	1	100.0000	
7387	迻	0	0	1	100.0000	
7388	嘌	0	0	2	100.0000	
7389	酰	0	0	7	100.0000	
7390	梶	0	0	7	100.0000	
7391	庑	0	0	1	100.0000	
7392	䴗	0	0	1	100.0000	
7393	篦	0	0	1	100.0000	
7394	筘	0	0	1	100.0000	
7395	蹙	0	0	3	100.0000	
7396	茈	0	0	1	100.0000	
7397	辎	0	0	1	100.0000	
7398	覩	0	0	1	100.0000	
7399	氐	0	0	1	100.0000	
7400	鲂	0	0	2	100.0000	
7401	虌	0	0	1	100.0000	
7402	跜	0	0	1	100.0000	
7403	瓠	0	0	1	100.0000	
7404	脕	0	0	1	100.0000	
7405	痼	0	0	1	100.0000	
7406	逤	0	0	1	100.0000	
7407	檨	0	0	1	100.0000	
7408	谠	0	0	1	100.0000	
7409	锬	0	0	1	100.0000	
7410	罤	0	0	1	100.0000	
7411	簋	0	0	1	100.0000	
7412	燿	0	0	2	100.0000	
7413	黙	0	0	1	100.0000	
7414	歊	0	0	1	100.0000	
7415	骓	0	0	1	100.0000	
7416	裰	0	0	1	100.0000	
7417	洵	0	0	1	100.0000	
7418	亓	0	0	3	100.0000	
7419	蛉	0	0	3	100.0000	
7420	嶃	0	0	1	100.0000	
7421	玽	0	0	1	100.0000	
7422	陴	0	0	1	100.0000	
7423	絭	0	0	1	100.0000	
7424	蠧	0	0	1	100.0000	
7425	冐	0	0	1	100.0000	
7426	譱	0	0	1	100.0000	
7427	嗫	0	0	3	100.0000	
7428	璟	0	0	2	100.0000	
7429	絖	0	0	1	100.0000	
7430	褵	0	0	1	100.0000	
7431	忻	0	0	4	100.0000	
7432	镅	0	0	1	100.0000	
7433	甑	0	0	1	100.0000	
7434	盍	0	0	1	100.0000	
7435	唩	0	0	1	100.0000	
7436	黩	0	0	3	100.0000	
7437	梋	0	0	1	100.0000	
7438	鄄	0	0	2	100.0000	
7439	瘌	0	0	3	100.0000	
7440	倞	0	0	2	100.0000	
7441	䴔	0	0	1	100.0000	
7442	茯	0	0	3	100.0000	
7443	鋞	0	0	1	100.0000	
7444	镤	0	0	1	100.0000	
7445	佞	0	0	5	100.0000	
7446	倶	0	0	1	100.0000	
7447	鬾	0	0	1	100.0000	
7448	綨	0	0	1	100.0000	
7449	泂	0	0	1	100.0000	
7450	拫	0	0	1	100.0000	
7451	鼈	0	0	1	100.0000	
7452	镨	0	0	1	100.0000	
7453	竉	0	0	1	100.0000	
7454	愽	0	0	1	100.0000	
7455	稝	0	0	1	100.0000	
7456	鸷	0	0	3	100.0000	
7457	殑	0	0	1	100.0000	
7458	癿	0	0	1	100.0000	
7459	屦	0	0	1	100.0000	
7460	蚇	0	0	1	100.0000	
7461	抭	0	0	1	100.0000	
7462	圮	0	0	1	100.0000	
7463	蒁	0	0	1	100.0000	
7464	悌	0	0	5	100.0000	
7465	觓	0	0	1	100.0000	
7466	婑	0	0	1	100.0000	
7467	涽	0	0	1	100.0000	
7468	伛	0	0	1	100.0000	
7469	閕	0	0	1	100.0000	
7470	玢	0	0	2	100.0000	
7471	縁	0	0	1	100.0000	
7472	紩	0	0	1	100.0000	
7473	茇	0	0	1	100.0000	
7474	悭	0	0	3	100.0000	
7475	椼	0	0	1	100.0000	
7476	倢	0	0	1	100.0000	
7477	髙	0	0	3	100.0000	
7478	梼	0	0	1	100.0000	
7479	钕	0	0	1	100.0000	
7480	煜	0	0	2	100.0000	
7481	齝	0	0	1	100.0000	
7482	韈	0	0	1	100.0000	
7483	胠	0	0	1	100.0000	
7484	苲	0	0	1	100.0000	
7485	瓵	0	0	1	100.0000	
7486	搣	0	0	1	100.0000	
7487	麇	0	0	1	100.0000	
7488	舃	0	0	1	100.0000	
