rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
244	且	37795	37795	134	91.8760	HSK2
245	国	37284	37284	1816	91.9170	HSK1
246	担	37228	37228	185	91.9579	HSK4
247	坐	37129	37088	395	91.9987	HSK1
248	保	36931	36931	857	92.0393	HSK3
249	车	36814	36814	1840	92.0798	HSK1
250	机	36778	36778	1513	92.1202	HSK1
251	喂	36566	36476	69	92.1604	HSK2
252	确	36496	36496	186	92.2005	HSK2
253	无	36232	36176	2087	92.2403	HSK4
254	算	36144	36126	803	92.2800	HSK2
255	美	36040	36037	2158	92.3196	HSK3
256	接	35827	35827	1025	92.3590	HSK2
257	跑	35299	35288	304	92.3978	HSK1
258	界	35006	35006	446	92.4363	HSK3
259	系	34804	34804	1087	92.4745	HSK1
260	续	34512	34511	148	92.5124	HSK3
261	受	34489	34489	763	92.5503	HSK2
262	底	34447	34446	486	92.5882	HSK3
263	够	34401	34382	713	92.6260	HSK2
264	动	33889	33872	1478	92.6633	HSK1
265	继	33699	33699	157	92.7003	HSK3
266	身	33402	33402	1019	92.7370	HSK1
267	位	33384	33384	669	92.7737	HSK2
268	远	33176	33034	777	92.8101	HSK1
269	同	33154	33153	1168	92.8466	HSK1
270	怕	32841	32836	219	92.8827	HSK2
271	谈	32566	22489	713	92.9185	HSK3
272	害	32282	32282	436	92.9539	HSK3
273	件	32219	32219	484	92.9894	HSK2
274	计	31977	31977	585	93.0245	HSK2
275	姐	31508	28101	636	93.0591	HSK1
276	总	31169	31169	743	93.0934	HSK3
277	父	30873	30873	327	93.1273	HSK3
278	早	30761	30757	593	93.1611	HSK1
279	房	29989	29989	671	93.1941	HSK1
280	管	29148	29145	957	93.2261	HSK3
281	决	29087	29087	262	93.2581	HSK3
282	肯	28698	28697	652	93.2896	HSK5
283	嗨	28588	28588	2	93.3210	
284	却	28344	28344	135	93.3522	HSK4
285	买	28231	28231	755	93.3832	HSK1
286	警	27904	27904	483	93.4139	HSK3
287	送	27733	27733	741	93.4444	HSK1
288	此	27547	27510	812	93.4746	HSK3
289	几	27458	27458	950	93.5048	HSK1
290	医	27368	27368	373	93.5349	HSK1
291	喝	27269	27267	385	93.5649	HSK1
292	理	27049	27049	1231	93.5946	HSK2
293	永	26841	26840	587	93.6241	HSK2
294	笑	26571	26537	430	93.6533	HSK1
295	月	26290	26290	528	93.6822	HSK1
296	至	25900	25900	477	93.7106	HSK3
297	失	25814	25814	479	93.7390	HSK3
298	长	25787	25775	1885	93.7674	HSK2
299	学	25669	25643	1896	93.7956	HSK1
300	外	25438	25438	1088	93.8235	HSK1
301	加	25437	25436	2156	93.8515	HSK2
302	难	25223	25223	857	93.8792	HSK1
303	忙	25212	25210	201	93.9069	HSK1
304	命	25121	25121	734	93.9345	HSK3
305	由	24766	24766	888	93.9617	HSK2
306	者	24672	24672	1570	93.9888	HSK2
307	留	24553	24553	617	94.0158	HSK2
308	睡	24544	24544	330	94.0428	HSK1
309	公	24452	24437	1178	94.0697	HSK2
310	分	24386	24386	1475	94.0965	HSK1
311	噢	24334	24334	1	94.1232	
312	求	24291	21443	569	94.1499	HSK2
313	蛋	24133	24065	457	94.1764	HSK1
314	第	24100	24100	1117	94.2029	HSK1
315	力	23845	23845	1514	94.2291	HSK2
316	搞	23770	23769	155	94.2553	HSK5
317	穿	23694	23694	423	94.2813	HSK1
318	疯	23608	23605	244	94.3072	HSK5
319	原	23543	23543	706	94.3331	HSK2
320	证	23371	23371	414	94.3588	HSK3
321	拜	23285	22475	375	94.3844	HSK5
322	写	23278	23276	498	94.4100	HSK1
323	清	23204	23196	793	94.4355	HSK2
324	处	22606	22595	819	94.4603	HSK2
325	根	22578	22578	1032	94.4851	HSK3
326	服	22532	22530	560	94.5099	HSK1
327	照	22359	22358	689	94.5345	HSK2
328	束	21936	21936	179	94.5586	HSK3
329	况	21866	21866	126	94.5826	HSK3
330	帝	21862	21862	775	94.6066	HSK6
331	忘	21790	21790	173	94.6306	HSK1
332	停	21675	21669	353	94.6544	HSK2
333	号	21594	21594	681	94.6781	HSK1
334	站	21458	21458	458	94.7017	HSK1
335	抓	21325	21325	325	94.7252	HSK3
336	近	21235	21235	491	94.7485	HSK2
337	头	21071	21060	1855	94.7716	HSK2
338	弟	20736	18267	311	94.7944	HSK1
339	亮	20707	20705	358	94.8172	HSK2
340	楚	20635	20626	253	94.8399	HSK2
341	救	20484	19735	733	94.8624	HSK3
342	托	20377	20376	1332	94.8848	HSK5
343	烦	20076	20075	226	94.9068	HSK3
344	漂	20001	19999	106	94.9288	HSK2
345	察	19961	19961	314	94.9508	HSK3
346	懂	19936	19909	199	94.9727	HSK2
347	愿	19923	19902	391	94.9946	HSK2
348	试	19650	13672	635	95.0162	HSK1
349	特	19615	19614	3748	95.0377	HSK2
350	三	19573	19572	2503	95.0592	HSK1
351	部	19230	19230	1061	95.0804	HSK2
352	麻	19219	19219	493	95.1015	HSK3
353	兄	18938	18938	307	95.1223	HSK4
354	使	18601	18601	442	95.1427	HSK2
355	混	18354	18311	279	95.1629	HSK6
356	怪	18347	18213	488	95.1831	HSK3
357	否	18219	18219	125	95.2031	HSK3
358	息	18185	18184	304	95.2231	HSK1
359	弄	17961	17960	408	95.2428	HSK2
360	连	17801	17799	1597	95.2624	HSK3
361	久	17764	17746	504	95.2819	HSK2
362	答	17597	17597	203	95.3013	HSK1
363	曾	17514	17514	223	95.3205	HSK3
364	音	17411	17411	654	95.3396	HSK2
365	另	17410	17410	137	95.3588	HSK3
366	枪	17281	17281	782	95.3778	HSK5
367	注	16978	16978	229	95.3964	HSK3
368	待	16936	16936	572	95.4150	HSK3
369	宝	16903	16174	916	95.4336	HSK4
370	母	16901	16901	479	95.4522	HSK3
371	绝	16711	16711	362	95.4706	HSK3
372	掉	16661	16661	497	95.4889	HSK2
373	通	16544	16496	989	95.5070	HSK2
374	伤	16478	16478	555	95.5252	HSK3
375	表	16435	16435	882	95.5432	HSK2
376	持	16431	16431	271	95.5613	HSK3
377	助	16405	16405	379	95.5793	HSK2
378	简	16286	16285	291	95.5972	HSK3
379	日	16268	16253	1158	95.6151	HSK1
380	整	16259	16057	557	95.6329	HSK3
381	声	16096	16095	885	95.6506	HSK2
382	气	16073	16073	1284	95.6683	HSK1
383	划	15991	15991	354	95.6859	HSK2
384	体	15951	15951	954	95.7034	HSK1
385	物	15917	15917	1025	95.7209	HSK2
386	讲	15859	15775	364	95.7383	HSK2
387	唯	15677	15677	127	95.7556	HSK5
388	贝	15531	15527	1619	95.7726	HSK4
389	改	15487	15485	456	95.7896	HSK2
390	主	15428	15427	1425	95.8066	HSK2
391	入	15422	15422	1107	95.8236	HSK2
392	选	15374	15374	746	95.8404	HSK2
393	乐	15332	15328	1204	95.8573	HSK2
394	消	15238	15237	337	95.8740	HSK3
395	士	15219	15219	1004	95.8908	HSK4
396	路	15174	15174	1526	95.9074	HSK1
397	场	15167	15167	1030	95.9241	HSK1
398	夫	15031	15031	1758	95.9406	HSK3
399	约	15019	15019	527	95.9571	HSK3
400	门	15010	15010	1485	95.9736	HSK1
401	静	14849	14812	473	95.9900	HSK2
402	婚	14779	14779	254	96.0062	HSK3
403	奇	14743	14742	1550	96.0224	HSK3
404	嘴	14580	14580	361	96.0384	HSK2
405	衣	14479	14479	512	96.0543	HSK1
406	收	14306	14306	824	96.0701	HSK2
407	除	14245	14245	302	96.0857	HSK3
408	险	14160	14160	277	96.1013	HSK3
409	眼	13937	13936	902	96.1166	HSK2
410	闭	13772	13772	186	96.1317	HSK4
411	棒	13754	13746	233	96.1468	HSK5
412	查	13737	13636	986	96.1619	HSK2
413	张	13724	13724	993	96.1770	HSK3
414	故	13611	13611	229	96.1920	HSK2
415	官	13588	13588	593	96.2069	HSK4
416	甚	13518	13518	104	96.2218	HSK4
417	便	13510	13506	328	96.2366	HSK2
418	护	13403	13403	501	96.2514	HSK2
419	单	13388	13360	712	96.2661	HSK2
420	迎	13379	13379	145	96.2808	HSK2
421	哥	13138	8820	1653	96.2952	HSK1
422	虽	13012	13012	112	96.3095	HSK2
423	止	12806	12806	248	96.3236	HSK3
424	酒	12767	12767	927	96.3376	HSK2
425	目	12723	12723	551	96.3516	HSK2
